+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                       description                                                                                                        |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Vandalism took place at 12:04. No known witnesses.                                                                                                                                                                       |
| Shoplifting took place at 03:01. Two people witnessed the event.                                                                                                                                                         |
| Theft of the CS50 duck took place at 10:15am at the Humphrey Street bakery. Interviews were conducted today with three witnesses who were present at the time – each of their interview transcripts mentions the bakery. |
| Money laundering took place at 20:30. No known witnesses.                                                                                                                                                                |
| Littering took place at 16:36. No known witnesses.                                                                                                                                                                       |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|                                                                                                                                                     transcript                                                                                                                                                      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Sometime within ten minutes of the theft, I saw the thief get into a car in the bakery parking lot and drive away. If you have security footage from the bakery parking lot, you might want to look for cars that left the parking lot in that time frame.                                                          |
| I don't know the thief's name, but it was someone I recognized. Earlier this morning, before I arrived at Emma's bakery, I was walking by the ATM on Leggett Street and saw the thief there withdrawing some money.                                                                                                 |
| As the thief was leaving the bakery, they called someone who talked to them for less than a minute. In the call, I heard the thief say that they were planning to take the earliest flight out of Fiftyville tomorrow. The thief then asked the person on the other end of the phone to purchase the flight ticket. |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
+----------+---------------+---------+
| activity | license_plate |  name   |
+----------+---------------+---------+
| exit     | 5P2BI95       | Vanessa |
| exit     | 94KL13X       | Bruce   |
| exit     | 6P58WS2       | Barry   |
| exit     | 4328GD8       | Luca    |
| exit     | G412CB7       | Sofia   |
| exit     | L93JTIZ       | Iman    |
| exit     | 322W7JE       | Diana   |
| exit     | 0NTHK55       | Kelsey  |
+----------+---------------+---------+
+-------------+------------------+
|    name     | transaction_type |
+-------------+------------------+
| Samuel      | withdraw         |
| Samuel      | withdraw         |
| Samuel      | withdraw         |
| Samuel      | withdraw         |
| Samuel      | withdraw         |
| Samuel      | withdraw         |
| Samuel      | withdraw         |
| Samuel      | withdraw         |
| Janice      | withdraw         |
| Janice      | withdraw         |
| Janice      | withdraw         |
| Janice      | withdraw         |
| Janice      | withdraw         |
| Janice      | withdraw         |
| Janice      | withdraw         |
| Janice      | withdraw         |
| Bruce       | withdraw         |
| Bruce       | withdraw         |
| Bruce       | withdraw         |
| Bruce       | withdraw         |
| Bruce       | withdraw         |
| Bruce       | withdraw         |
| Bruce       | withdraw         |
| Cheryl      | withdraw         |
| Cheryl      | withdraw         |
| Cheryl      | withdraw         |
| Cheryl      | withdraw         |
| Cheryl      | withdraw         |
| Cheryl      | withdraw         |
| Cheryl      | withdraw         |
| Cheryl      | withdraw         |
| Wayne       | withdraw         |
| Wayne       | withdraw         |
| Wayne       | withdraw         |
| Wayne       | withdraw         |
| Wayne       | withdraw         |
| Wayne       | withdraw         |
| Wayne       | withdraw         |
| Wayne       | withdraw         |
| Alan        | withdraw         |
| Alan        | withdraw         |
| Alan        | withdraw         |
| Alan        | withdraw         |
| Alan        | withdraw         |
| Alan        | withdraw         |
| Alan        | withdraw         |
| Alan        | withdraw         |
| Jennifer    | withdraw         |
| Jennifer    | withdraw         |
| Jennifer    | withdraw         |
| Jennifer    | withdraw         |
| Jennifer    | withdraw         |
| Jennifer    | withdraw         |
| Jennifer    | withdraw         |
| Jennifer    | withdraw         |
| Harold      | withdraw         |
| Harold      | withdraw         |
| Harold      | withdraw         |
| Harold      | withdraw         |
| Harold      | withdraw         |
| Harold      | withdraw         |
| Harold      | withdraw         |
| Harold      | withdraw         |
| Christian   | withdraw         |
| Christian   | withdraw         |
| Christian   | withdraw         |
| Christian   | withdraw         |
| Christian   | withdraw         |
| Christian   | withdraw         |
| Christian   | withdraw         |
| Christian   | withdraw         |
| Ruth        | withdraw         |
| Ruth        | withdraw         |
| Ruth        | withdraw         |
| Ruth        | withdraw         |
| Ruth        | withdraw         |
| Ruth        | withdraw         |
| Ruth        | withdraw         |
| Ruth        | withdraw         |
| Kaelyn      | withdraw         |
| Kaelyn      | withdraw         |
| Kaelyn      | withdraw         |
| Kaelyn      | withdraw         |
| Kaelyn      | withdraw         |
| Kaelyn      | withdraw         |
| Kaelyn      | withdraw         |
| Kaelyn      | withdraw         |
| Betty       | withdraw         |
| Betty       | withdraw         |
| Betty       | withdraw         |
| Betty       | withdraw         |
| Betty       | withdraw         |
| Betty       | withdraw         |
| Betty       | withdraw         |
| Betty       | withdraw         |
| Samantha    | withdraw         |
| Samantha    | withdraw         |
| Samantha    | withdraw         |
| Samantha    | withdraw         |
| Samantha    | withdraw         |
| Samantha    | withdraw         |
| Samantha    | withdraw         |
| Samantha    | withdraw         |
| Keith       | withdraw         |
| Keith       | withdraw         |
| Keith       | withdraw         |
| Keith       | withdraw         |
| Keith       | withdraw         |
| Keith       | withdraw         |
| Keith       | withdraw         |
| Keith       | withdraw         |
| Theresa     | withdraw         |
| Theresa     | withdraw         |
| Theresa     | withdraw         |
| Theresa     | withdraw         |
| Theresa     | withdraw         |
| Theresa     | withdraw         |
| Theresa     | withdraw         |
| Theresa     | withdraw         |
| Sophia      | withdraw         |
| Sophia      | withdraw         |
| Sophia      | withdraw         |
| Sophia      | withdraw         |
| Sophia      | withdraw         |
| Sophia      | withdraw         |
| Sophia      | withdraw         |
| Sophia      | withdraw         |
| Lisa        | withdraw         |
| Lisa        | withdraw         |
| Lisa        | withdraw         |
| Lisa        | withdraw         |
| Lisa        | withdraw         |
| Lisa        | withdraw         |
| Lisa        | withdraw         |
| Lisa        | withdraw         |
| Anna        | withdraw         |
| Anna        | withdraw         |
| Anna        | withdraw         |
| Anna        | withdraw         |
| Anna        | withdraw         |
| Anna        | withdraw         |
| Anna        | withdraw         |
| Anna        | withdraw         |
| Gary        | withdraw         |
| Gary        | withdraw         |
| Gary        | withdraw         |
| Gary        | withdraw         |
| Gary        | withdraw         |
| Gary        | withdraw         |
| Gary        | withdraw         |
| Gary        | withdraw         |
| Billy       | withdraw         |
| Billy       | withdraw         |
| Billy       | withdraw         |
| Billy       | withdraw         |
| Billy       | withdraw         |
| Billy       | withdraw         |
| Billy       | withdraw         |
| Billy       | withdraw         |
| Kevin       | withdraw         |
| Kevin       | withdraw         |
| Kevin       | withdraw         |
| Kevin       | withdraw         |
| Kevin       | withdraw         |
| Kevin       | withdraw         |
| Kevin       | withdraw         |
| Kevin       | withdraw         |
| Timothy     | withdraw         |
| Timothy     | withdraw         |
| Timothy     | withdraw         |
| Timothy     | withdraw         |
| Timothy     | withdraw         |
| Timothy     | withdraw         |
| Timothy     | withdraw         |
| Timothy     | withdraw         |
| Logan       | withdraw         |
| Logan       | withdraw         |
| Logan       | withdraw         |
| Logan       | withdraw         |
| Logan       | withdraw         |
| Logan       | withdraw         |
| Logan       | withdraw         |
| Logan       | withdraw         |
| Amanda      | withdraw         |
| Amanda      | withdraw         |
| Amanda      | withdraw         |
| Amanda      | withdraw         |
| Amanda      | withdraw         |
| Amanda      | withdraw         |
| Amanda      | withdraw         |
| Amanda      | withdraw         |
| Heather     | withdraw         |
| Heather     | withdraw         |
| Heather     | withdraw         |
| Heather     | withdraw         |
| Heather     | withdraw         |
| Heather     | withdraw         |
| Heather     | withdraw         |
| Heather     | withdraw         |
| Jordan      | withdraw         |
| Jordan      | withdraw         |
| Jordan      | withdraw         |
| Jordan      | withdraw         |
| Jordan      | withdraw         |
| Jordan      | withdraw         |
| Jordan      | withdraw         |
| Jordan      | withdraw         |
| Frances     | withdraw         |
| Frances     | withdraw         |
| Frances     | withdraw         |
| Frances     | withdraw         |
| Frances     | withdraw         |
| Frances     | withdraw         |
| Frances     | withdraw         |
| Frances     | withdraw         |
| Karen       | withdraw         |
| Karen       | withdraw         |
| Karen       | withdraw         |
| Karen       | withdraw         |
| Karen       | withdraw         |
| Karen       | withdraw         |
| Karen       | withdraw         |
| Karen       | withdraw         |
| Diana       | withdraw         |
| Diana       | withdraw         |
| Diana       | withdraw         |
| Diana       | withdraw         |
| Diana       | withdraw         |
| Diana       | withdraw         |
| Diana       | withdraw         |
| Cynthia     | withdraw         |
| Cynthia     | withdraw         |
| Cynthia     | withdraw         |
| Cynthia     | withdraw         |
| Cynthia     | withdraw         |
| Cynthia     | withdraw         |
| Cynthia     | withdraw         |
| Cynthia     | withdraw         |
| Linda       | withdraw         |
| Linda       | withdraw         |
| Linda       | withdraw         |
| Linda       | withdraw         |
| Linda       | withdraw         |
| Linda       | withdraw         |
| Linda       | withdraw         |
| Linda       | withdraw         |
| Rachel      | withdraw         |
| Rachel      | withdraw         |
| Rachel      | withdraw         |
| Rachel      | withdraw         |
| Rachel      | withdraw         |
| Rachel      | withdraw         |
| Rachel      | withdraw         |
| Rachel      | withdraw         |
| Douglas     | withdraw         |
| Douglas     | withdraw         |
| Douglas     | withdraw         |
| Douglas     | withdraw         |
| Douglas     | withdraw         |
| Douglas     | withdraw         |
| Douglas     | withdraw         |
| Douglas     | withdraw         |
| Frank       | withdraw         |
| Frank       | withdraw         |
| Frank       | withdraw         |
| Frank       | withdraw         |
| Frank       | withdraw         |
| Frank       | withdraw         |
| Frank       | withdraw         |
| Frank       | withdraw         |
| Ryan        | withdraw         |
| Ryan        | withdraw         |
| Ryan        | withdraw         |
| Ryan        | withdraw         |
| Ryan        | withdraw         |
| Ryan        | withdraw         |
| Ryan        | withdraw         |
| Ryan        | withdraw         |
| Paul        | withdraw         |
| Paul        | withdraw         |
| Paul        | withdraw         |
| Paul        | withdraw         |
| Paul        | withdraw         |
| Paul        | withdraw         |
| Paul        | withdraw         |
| Paul        | withdraw         |
| Nicholas    | withdraw         |
| Nicholas    | withdraw         |
| Nicholas    | withdraw         |
| Nicholas    | withdraw         |
| Nicholas    | withdraw         |
| Nicholas    | withdraw         |
| Nicholas    | withdraw         |
| Nicholas    | withdraw         |
| Brenda      | withdraw         |
| Brenda      | withdraw         |
| Brenda      | withdraw         |
| Brenda      | withdraw         |
| Brenda      | withdraw         |
| Brenda      | withdraw         |
| Brenda      | withdraw         |
| Brenda      | withdraw         |
| Jose        | withdraw         |
| Jose        | withdraw         |
| Jose        | withdraw         |
| Jose        | withdraw         |
| Jose        | withdraw         |
| Jose        | withdraw         |
| Jose        | withdraw         |
| Jose        | withdraw         |
| Louis       | withdraw         |
| Louis       | withdraw         |
| Louis       | withdraw         |
| Louis       | withdraw         |
| Louis       | withdraw         |
| Louis       | withdraw         |
| Louis       | withdraw         |
| Louis       | withdraw         |
| Jesse       | withdraw         |
| Jesse       | withdraw         |
| Jesse       | withdraw         |
| Jesse       | withdraw         |
| Jesse       | withdraw         |
| Jesse       | withdraw         |
| Jesse       | withdraw         |
| Jesse       | withdraw         |
| Philip      | withdraw         |
| Philip      | withdraw         |
| Philip      | withdraw         |
| Philip      | withdraw         |
| Philip      | withdraw         |
| Philip      | withdraw         |
| Philip      | withdraw         |
| Philip      | withdraw         |
| Catherine   | withdraw         |
| Catherine   | withdraw         |
| Catherine   | withdraw         |
| Catherine   | withdraw         |
| Catherine   | withdraw         |
| Catherine   | withdraw         |
| Catherine   | withdraw         |
| Catherine   | withdraw         |
| Rose        | withdraw         |
| Rose        | withdraw         |
| Rose        | withdraw         |
| Rose        | withdraw         |
| Rose        | withdraw         |
| Rose        | withdraw         |
| Rose        | withdraw         |
| Rose        | withdraw         |
| Beverly     | withdraw         |
| Beverly     | withdraw         |
| Beverly     | withdraw         |
| Beverly     | withdraw         |
| Beverly     | withdraw         |
| Beverly     | withdraw         |
| Beverly     | withdraw         |
| Beverly     | withdraw         |
| Susan       | withdraw         |
| Susan       | withdraw         |
| Susan       | withdraw         |
| Susan       | withdraw         |
| Susan       | withdraw         |
| Susan       | withdraw         |
| Susan       | withdraw         |
| Susan       | withdraw         |
| Laura       | withdraw         |
| Laura       | withdraw         |
| Laura       | withdraw         |
| Laura       | withdraw         |
| Laura       | withdraw         |
| Laura       | withdraw         |
| Laura       | withdraw         |
| Laura       | withdraw         |
| Brooke      | withdraw         |
| Brooke      | withdraw         |
| Brooke      | withdraw         |
| Brooke      | withdraw         |
| Brooke      | withdraw         |
| Brooke      | withdraw         |
| Brooke      | withdraw         |
| Jack        | withdraw         |
| Jack        | withdraw         |
| Jack        | withdraw         |
| Jack        | withdraw         |
| Jack        | withdraw         |
| Jack        | withdraw         |
| Jack        | withdraw         |
| Jack        | withdraw         |
| Judy        | withdraw         |
| Judy        | withdraw         |
| Judy        | withdraw         |
| Judy        | withdraw         |
| Judy        | withdraw         |
| Judy        | withdraw         |
| Judy        | withdraw         |
| Judy        | withdraw         |
| Raymond     | withdraw         |
| Raymond     | withdraw         |
| Raymond     | withdraw         |
| Raymond     | withdraw         |
| Raymond     | withdraw         |
| Raymond     | withdraw         |
| Raymond     | withdraw         |
| Raymond     | withdraw         |
| Ernest      | withdraw         |
| Ernest      | withdraw         |
| Ernest      | withdraw         |
| Ernest      | withdraw         |
| Ernest      | withdraw         |
| Ernest      | withdraw         |
| Ernest      | withdraw         |
| Ernest      | withdraw         |
| Jerry       | withdraw         |
| Jerry       | withdraw         |
| Jerry       | withdraw         |
| Jerry       | withdraw         |
| Jerry       | withdraw         |
| Jerry       | withdraw         |
| Jerry       | withdraw         |
| Jerry       | withdraw         |
| Denise      | withdraw         |
| Denise      | withdraw         |
